Year,Quarter,Children Act - public law,Children Act - private law,Matrimonial matters,Financial remedies,Domestic violence remedy orders,Forced marriage protection,Female genital mutilation protection,All Adoption Act,Total cases started
2006,,-,-,148233,65395,-,-,-,-,-
2007,,-,-,137023,58496,-,-,-,-,-
2008,,-,-,129618,51767,-,-,-,-,-
2009,,-,-,132803,46081,-,94,-,-,-
2010,,-,-,134105,46173,-,111,-,-,-
2011,,14788,49060,129888,41666,17057,118,-,11090,263667
2012,,15238,52056,125125,42949,17318,109,-,13164,265959
2013,,15050,54620,118305,42919,19738,144,-,14803,265579
2014,,14909,42105,113324,37654,20295,137,-,13086,241510
2015,,15998,43342,115271,37949,19508,189,35,12821,245113
2016,,18953,48243,114826,41540,20056,231,68,12190,256107
2017,,19152,50649,110019,42308,21214,202,85,11745,255374
2018,,19035,51671,119164,40146,21358,283,88,11102,262847
2019,,18392,54934,117639,39449,25373,340,102,10397,266626
2011,Q1,3749,13505,34819,11916,4334,35,-,2945,71303
,Q2,3564,10543,29633,8531,4209,21,-,2603,59104
,Q3,3767,12838,34668,10611,4560,38,-,2767,69249
,Q4,3708,12174,30768,10608,3954,24,-,2775,64011
2012,Q1,3814,13207,33861,11245,4326,19,-,3283,69755
,Q2,3593,12382,30668,10505,4265,40,-,3128,64581
,Q3,3975,13716,31236,10613,4468,24,-,3350,67382
,Q4,3856,12751,29360,10586,4259,26,-,3403,64241
2013,Q1,3869,13501,31121,10260,4571,31,-,3602,66955
,Q2,3814,15553,32237,11281,4712,43,-,3814,71454
,Q3,3661,13993,28612,10928,5387,43,-,3957,66581
,Q4,3706,11573,26335,10450,5068,27,-,3430,60589
2014,Q1,3747,11976,28755,10266,5036,29,-,3457,63266
,Q2,3511,9227,27743,8780,5106,30,-,3298,57695
,Q3,3834,10578,29350,9269,5302,43,-,3245,61621
,Q4,3817,10324,27476,9339,4851,35,-,3086,58928
2015,Q1,3824,10547,28783,9564,4759,43,-,3388,60908
,Q2,3896,10482,28283,9412,4841,43,-,2995,59952
,Q3,4060,11138,28534,9615,5039,45,20,3292,61743
,Q4,4218,11175,29671,9358,4869,58,15,3146,62510
2016,Q1,4504,11515,29213,9799,4800,49,13,3160,63053
,Q2,4830,12196,30493,10500,5147,70,17,3110,66363
,Q3,4932,12690,27715,10600,5165,71,16,2955,64144
,Q4,4687,11842,27405,10641,4944,41,22,2965,62547
2017,Q1,4797,12802,28706,11066,5193,39,14,3163,65780
,Q2,4808,12665,27293,10469,5202,56,21,2901,63415
,Q3,4888,13166,28075,10554,5669,59,35,2838,65284
,Q4,4659,12016,25945,10219,5150,48,15,2843,60895
2018,Q1,4877,12185,27598,10297,5305,50,8,2844,63164
,Q2,4821,12998,32397,10128,5219,71,20,2741,68395
,Q3,4662,13490,30561,9588,5433,84,31,2729,66578
,Q4,4675,12998,28608,10133,5401,78,29,2788,64710
2019,Q1,4460,13686,30563,9953,6125,74,28,2779,67668
,Q2,4635,13434,28586,9769,6065,89,21,2597,65196
,Q3,4704,14204,31152,9604,6666,100,33,2525,68988
,Q4,4593,13610,27338,10123,6517,77,20,2496,64774
2020,Q1,4413,13701,29889,9489,6845,82,19,2418,66856
,Q2,4454,12598,24365,7013,7501,39,8,2023,58001
,Q3,4745,15344,27988,10052,8422,36,7,2211,68805
